1,2. Black,1. Religious,2,1. Less than H.S,13. 75+,1. Extremely Liberal
2,2. Black,1. Religious,7,1. Less than H.S,13. 75+,1. Extremely Liberal
3,2. Black,1. Religious,3,3. Some College,12. 70-74,
4,2. Black,1. Religious,2,3. Some College,8. 50-54,
5,2. Black,0. Not Religious,13,2. High School,5. 35-39,2. Liberal
6,2. Black,1. Religious,2,1. Less than H.S,13. 75+,
7,2. Black,1. Religious,1,1. Less than H.S,8. 50-54,
8,2. Black,1. Religious,1,1. Less than H.S,12. 70-74,
9,2. Black,1. Religious,11,4. Bachelor's,2. 21-24,4. Moderate
10,1. White,0. Not Religious,9,5. Graduate Degree,7. 45-49,6. Conservative
11,1. White,0. Not Religious,27,4. Bachelor's,,4. Moderate
12,1. White,0. Not Religious,27,5. Graduate Degree,7. 45-49,5. Slightly Conservative
13,1. White,1. Religious,24,3. Some College,10. 60-64,3. Slightly Liberal
14,1. White,1. Religious,15,3. Some College,9. 55-59,4. Moderate
15,1. White,1. Religious,25,4. Bachelor's,9. 55-59,6. Conservative
16,1. White,1. Religious,1,5. Graduate Degree,10. 60-64,6. Conservative
17,1. White,1. Religious,26,5. Graduate Degree,8. 50-54,6. Conservative
18,1. White,0. Not Religious,7,2. High School,10. 60-64,
19,1. White,1. Religious,1,1. Less than H.S,4. 30-34,
20,4. Other,1. Religious,7,1. Less than H.S,7. 45-49,3. Slightly Liberal
21,1. White,0. Not Religious,9,3. Some College,3. 25-29,6. Conservative
22,1. White,1. Religious,1,2. High School,4. 30-34,
23,1. White,1. Religious,11,2. High School,3. 25-29,3. Slightly Liberal
24,1. White,1. Religious,2,1. Less than H.S,13. 75+,
25,1. White,1. Religious,13,1. Less than H.S,13. 75+,5. Slightly Conservative
26,1. White,1. Religious,,3. Some College,8. 50-54,4. Moderate
27,1. White,1. Religious,9,3. Some College,8. 50-54,6. Conservative
28,1. White,1. Religious,21,3. Some College,13. 75+,5. Slightly Conservative
29,1. White,0. Not Religious,14,1. Less than H.S,9. 55-59,
30,1. White,1. Religious,3,3. Some College,8. 50-54,5. Slightly Conservative
31,2. Black,1. Religious,23,4. Bachelor's,8. 50-54,5. Slightly Conservative
32,4. Other,0. Not Religious,18,3. Some College,5. 35-39,4. Moderate
33,2. Black,1. Religious,9,3. Some College,12. 70-74,
34,3. Hispanic,1. Religious,11,2. High School,,
35,3. Hispanic,,15,2. High School,8. 50-54,
36,3. Hispanic,0. Not Religious,4,3. Some College,7. 45-49,1. Extremely Liberal
37,3. Hispanic,1. Religious,13,3. Some College,4. 30-34,
38,3. Hispanic,1. Religious,4,1. Less than H.S,1. 17-20,
39,3. Hispanic,0. Not Religious,11,3. Some College,5. 35-39,
40,3. Hispanic,1. Religious,1,3. Some College,2. 21-24,3. Slightly Liberal
41,4. Other,0. Not Religious,26,4. Bachelor's,6. 40-44,5. Slightly Conservative
42,1. White,1. Religious,,4. Bachelor's,8. 50-54,3. Slightly Liberal
43,3. Hispanic,1. Religious,23,4. Bachelor's,4. 30-34,4. Moderate
44,1. White,1. Religious,8,4. Bachelor's,10. 60-64,6. Conservative
45,1. White,0. Not Religious,22,2. High School,4. 30-34,6. Conservative
46,4. Other,1. Religious,11,4. Bachelor's,7. 45-49,7. Extremely Conservative
47,1. White,1. Religious,26,4. Bachelor's,4. 30-34,5. Slightly Conservative
48,1. White,0. Not Religious,25,4. Bachelor's,10. 60-64,6. Conservative
49,1. White,0. Not Religious,17,3. Some College,4. 30-34,5. Slightly Conservative
50,4. Other,1. Religious,19,3. Some College,10. 60-64,6. Conservative
51,3. Hispanic,1. Religious,13,3. Some College,6. 40-44,5. Slightly Conservative
52,1. White,1. Religious,,3. Some College,6. 40-44,6. Conservative
53,3. Hispanic,0. Not Religious,23,3. Some College,4. 30-34,1. Extremely Liberal
54,1. White,0. Not Religious,18,3. Some College,4. 30-34,
55,4. Other,1. Religious,,2. High School,7. 45-49,4. Moderate
56,3. Hispanic,1. Religious,17,1. Less than H.S,4. 30-34,2. Liberal
57,3. Hispanic,0. Not Religious,11,2. High School,8. 50-54,5. Slightly Conservative
58,3. Hispanic,1. Religious,15,3. Some College,8. 50-54,
59,1. White,0. Not Religious,17,4. Bachelor's,11. 65-69,4. Moderate
60,1. White,0. Not Religious,15,5. Graduate Degree,13. 75+,2. Liberal
61,1. White,0. Not Religious,22,1. Less than H.S,5. 35-39,7. Extremely Conservative
62,4. Other,0. Not Religious,19,1. Less than H.S,12. 70-74,1. Extremely Liberal
63,1. White,0. Not Religious,11,1. Less than H.S,7. 45-49,1. Extremely Liberal
64,1. White,1. Religious,18,4. Bachelor's,7. 45-49,6. Conservative
65,1. White,0. Not Religious,15,3. Some College,2. 21-24,4. Moderate
66,4. Other,0. Not Religious,9,2. High School,1. 17-20,
67,1. White,0. Not Religious,,,13. 75+,2. Liberal
68,3. Hispanic,1. Religious,18,3. Some College,2. 21-24,3. Slightly Liberal
69,3. Hispanic,1. Religious,7,2. High School,1. 17-20,
70,4. Other,1. Religious,12,3. Some College,9. 55-59,6. Conservative
71,3. Hispanic,1. Religious,5,3. Some College,4. 30-34,4. Moderate
72,3. Hispanic,1. Religious,9,2. High School,7. 45-49,4. Moderate
73,1. White,0. Not Religious,,3. Some College,2. 21-24,4. Moderate
74,3. Hispanic,0. Not Religious,19,1. Less than H.S,12. 70-74,
75,1. White,1. Religious,21,3. Some College,6. 40-44,5. Slightly Conservative
76,3. Hispanic,0. Not Religious,23,5. Graduate Degree,,4. Moderate
77,1. White,1. Religious,21,3. Some College,8. 50-54,5. Slightly Conservative
78,1. White,1. Religious,11,2. High School,3. 25-29,
79,1. White,1. Religious,23,2. High School,6. 40-44,
80,1. White,,25,2. High School,1. 17-20,3. Slightly Liberal
81,3. Hispanic,0. Not Religious,26,4. Bachelor's,9. 55-59,2. Liberal
82,1. White,1. Religious,19,2. High School,8. 50-54,
83,1. White,1. Religious,16,5. Graduate Degree,10. 60-64,2. Liberal
84,4. Other,0. Not Religious,23,2. High School,,4. Moderate
85,1. White,,,4. Bachelor's,,2. Liberal
86,1. White,,,4. Bachelor's,,3. Slightly Liberal
87,2. Black,1. Religious,1,2. High School,2. 21-24,
88,1. White,1. Religious,11,3. Some College,3. 25-29,6. Conservative
89,4. Other,0. Not Religious,7,3. Some College,3. 25-29,5. Slightly Conservative
90,4. Other,0. Not Religious,7,2. High School,9. 55-59,4. Moderate
91,1. White,1. Religious,26,2. High School,9. 55-59,7. Extremely Conservative
92,1. White,1. Religious,15,3. Some College,13. 75+,6. Conservative
93,1. White,1. Religious,14,1. Less than H.S,8. 50-54,
94,1. White,1. Religious,12,1. Less than H.S,4. 30-34,5. Slightly Conservative
95,2. Black,0. Not Religious,20,3. Some College,3. 25-29,5. Slightly Conservative
96,2. Black,1. Religious,25,3. Some College,7. 45-49,
97,1. White,1. Religious,7,2. High School,7. 45-49,4. Moderate
98,1. White,1. Religious,26,4. Bachelor's,6. 40-44,
99,4. Other,1. Religious,10,3. Some College,8. 50-54,
100,1. White,1. Religious,17,2. High School,12. 70-74,4. Moderate
101,1. White,1. Religious,19,2. High School,6. 40-44,4. Moderate
102,1. White,1. Religious,13,4. Bachelor's,8. 50-54,6. Conservative
103,1. White,1. Religious,13,3. Some College,5. 35-39,5. Slightly Conservative
104,1. White,1. Religious,1,2. High School,3. 25-29,
105,1. White,1. Religious,19,2. High School,10. 60-64,7. Extremely Conservative
106,1. White,1. Religious,7,3. Some College,9. 55-59,2. Liberal
107,2. Black,1. Religious,13,3. Some College,4. 30-34,
108,2. Black,1. Religious,17,4. Bachelor's,7. 45-49,4. Moderate
109,2. Black,1. Religious,9,3. Some College,4. 30-34,
110,2. Black,0. Not Religious,1,1. Less than H.S,4. 30-34,
111,2. Black,1. Religious,12,3. Some College,6. 40-44,
112,2. Black,,2,2. High School,12. 70-74,
113,2. Black,1. Religious,14,4. Bachelor's,4. 30-34,3. Slightly Liberal
114,3. Hispanic,1. Religious,9,5. Graduate Degree,12. 70-74,6. Conservative
115,1. White,1. Religious,23,4. Bachelor's,4. 30-34,3. Slightly Liberal
116,2. Black,1. Religious,4,1. Less than H.S,12. 70-74,
117,1. White,1. Religious,3,2. High School,11. 65-69,4. Moderate
